,연도,학과,학생구분,응시자수,학과_1,학과_2,학과_3,학과_4,학생구분_1,학생구분_2,학생구분_3,학생구분_4,응시자수_1,응시자수_2,응시자수_3,응시자수_4
118,2017,사회복지과,신입생,79,산업경영과,세무회계과,스포츠지도과,실내디자인과,신입생,신입생,신입생,신입생,74.0,76.0,41.0,117.0
119,2017,산업경영과,신입생,74,세무회계과,스포츠지도과,실내디자인과,언어재활과,신입생,신입생,신입생,신입생,76.0,41.0,117.0,43.0
120,2017,세무회계과,신입생,76,스포츠지도과,실내디자인과,언어재활과,유아교육과,신입생,신입생,신입생,신입생,41.0,117.0,43.0,110.0
121,2017,스포츠지도과,신입생,41,실내디자인과,언어재활과,유아교육과,의공융합과,신입생,신입생,신입생,신입생,117.0,43.0,110.0,43.0
122,2017,실내디자인과,신입생,117,언어재활과,유아교육과,의공융합과,자동차과,신입생,신입생,신입생,신입생,43.0,110.0,43.0,125.0
123,2017,언어재활과,신입생,43,유아교육과,의공융합과,자동차과,자동화시스템과,신입생,신입생,신입생,신입생,110.0,43.0,125.0,75.0
124,2017,유아교육과,신입생,110,의공융합과,자동차과,자동화시스템과,전기과,신입생,신입생,신입생,신입생,43.0,125.0,75.0,73.0
125,2017,의공융합과,신입생,43,자동차과,자동화시스템과,전기과,전자통신과,신입생,신입생,신입생,신입생,125.0,75.0,73.0,80.0
126,2017,자동차과,신입생,125,자동화시스템과,전기과,전자통신과,컴퓨터소프트웨어과,신입생,신입생,신입생,신입생,75.0,73.0,80.0,76.0
127,2017,자동화시스템과,신입생,75,전기과,전자통신과,컴퓨터소프트웨어과,토목환경과,신입생,신입생,신입생,신입생,73.0,80.0,76.0,74.0
128,2017,전기과,신입생,73,전자통신과,컴퓨터소프트웨어과,토목환경과,항공서비스과,신입생,신입생,신입생,신입생,80.0,76.0,74.0,81.0
129,2017,전자통신과,신입생,80,컴퓨터소프트웨어과,토목환경과,항공서비스과,호텔관광과,신입생,신입생,신입생,신입생,76.0,74.0,81.0,74.0
130,2017,컴퓨터소프트웨어과,신입생,76,토목환경과,항공서비스과,호텔관광과,호텔외식서비스과,신입생,신입생,신입생,신입생,74.0,81.0,74.0,83.0
131,2017,토목환경과,신입생,74,항공서비스과,호텔관광과,호텔외식서비스과,호텔조리과,신입생,신입생,신입생,신입생,81.0,74.0,83.0,122.0
132,2017,항공서비스과,신입생,81,호텔관광과,호텔외식서비스과,호텔조리과,건축과,신입생,신입생,신입생,재학생,74.0,83.0,122.0,29.0
133,2017,호텔관광과,신입생,74,호텔외식서비스과,호텔조리과,건축과,건축설비소방과,신입생,신입생,재학생,재학생,83.0,122.0,29.0,20.0
134,2017,호텔외식서비스과,신입생,83,호텔조리과,건축과,건축설비소방과,경영과,신입생,재학생,재학생,재학생,122.0,29.0,20.0,39.0
135,2017,호텔조리과,신입생,122,건축과,건축설비소방과,경영과,기계과,재학생,재학생,재학생,재학생,29.0,20.0,39.0,40.0
136,2017,건축과,재학생,29,건축설비소방과,경영과,기계과,디지털전자과,재학생,재학생,재학생,재학생,20.0,39.0,40.0,26.0
137,2017,건축설비소방과,재학생,20,경영과,기계과,디지털전자과,메카트로닉스과,재학생,재학생,재학생,재학생,39.0,40.0,26.0,40.0
138,2017,경영과,재학생,39,기계과,디지털전자과,메카트로닉스과,모바일인터넷과,재학생,재학생,재학생,재학생,40.0,26.0,40.0,20.0
139,2017,기계과,재학생,40,디지털전자과,메카트로닉스과,모바일인터넷과,문헌정보과,재학생,재학생,재학생,재학생,26.0,40.0,20.0,24.0
140,2017,디지털전자과,재학생,26,메카트로닉스과,모바일인터넷과,문헌정보과,방송음향영상과,재학생,재학생,재학생,재학생,40.0,20.0,24.0,42.0
141,2017,메카트로닉스과,재학생,40,모바일인터넷과,문헌정보과,방송음향영상과,비서사무행정과,재학생,재학생,재학생,재학생,20.0,24.0,42.0,24.0
142,2017,모바일인터넷과,재학생,20,문헌정보과,방송음향영상과,비서사무행정과,사회복지과,재학생,재학생,재학생,재학생,24.0,42.0,24.0,40.0
143,2017,문헌정보과,재학생,24,방송음향영상과,비서사무행정과,사회복지과,산업경영과,재학생,재학생,재학생,재학생,42.0,24.0,40.0,33.0
144,2017,방송음향영상과,재학생,42,비서사무행정과,사회복지과,산업경영과,세무회계과,재학생,재학생,재학생,재학생,24.0,40.0,33.0,38.0
145,2017,비서사무행정과,재학생,24,사회복지과,산업경영과,세무회계과,스포츠지도과,재학생,재학생,재학생,재학생,40.0,33.0,38.0,19.0
146,2017,사회복지과,재학생,40,산업경영과,세무회계과,스포츠지도과,실내디자인과,재학생,재학생,재학생,재학생,33.0,38.0,19.0,23.0
147,2017,산업경영과,재학생,33,세무회계과,스포츠지도과,실내디자인과,언어재활과,재학생,재학생,재학생,재학생,38.0,19.0,23.0,26.0
148,2017,세무회계과,재학생,38,스포츠지도과,실내디자인과,언어재활과,유아교육과,재학생,재학생,재학생,재학생,19.0,23.0,26.0,38.0
149,2017,스포츠지도과,재학생,19,실내디자인과,언어재활과,유아교육과,의공융합과,재학생,재학생,재학생,재학생,23.0,26.0,38.0,21.0
150,2017,실내디자인과,재학생,23,언어재활과,유아교육과,의공융합과,자동차과,재학생,재학생,재학생,재학생,26.0,38.0,21.0,38.0
151,2017,언어재활과,재학생,26,유아교육과,의공융합과,자동차과,자동화시스템과,재학생,재학생,재학생,재학생,38.0,21.0,38.0,22.0
152,2017,유아교육과,재학생,38,의공융합과,자동차과,자동화시스템과,전기과,재학생,재학생,재학생,재학생,21.0,38.0,22.0,58.0
153,2017,의공융합과,재학생,21,자동차과,자동화시스템과,전기과,전자통신과,재학생,재학생,재학생,재학생,38.0,22.0,58.0,34.0
154,2017,자동차과,재학생,38,자동화시스템과,전기과,전자통신과,컴퓨터소프트웨어과,재학생,재학생,재학생,재학생,22.0,58.0,34.0,23.0
155,2017,자동화시스템과,재학생,22,전기과,전자통신과,컴퓨터소프트웨어과,토목환경과,재학생,재학생,재학생,재학생,58.0,34.0,23.0,51.0
156,2017,전기과,재학생,58,전자통신과,컴퓨터소프트웨어과,토목환경과,항공서비스과,재학생,재학생,재학생,재학생,34.0,23.0,51.0,10.0
157,2017,전자통신과,재학생,34,컴퓨터소프트웨어과,토목환경과,항공서비스과,호텔관광과,재학생,재학생,재학생,재학생,23.0,51.0,10.0,32.0
158,2017,컴퓨터소프트웨어과,재학생,23,토목환경과,항공서비스과,호텔관광과,호텔외식서비스과,재학생,재학생,재학생,재학생,51.0,10.0,32.0,34.0
159,2017,토목환경과,재학생,51,항공서비스과,호텔관광과,호텔외식서비스과,호텔조리과,재학생,재학생,재학생,재학생,10.0,32.0,34.0,15.0
160,2017,항공서비스과,재학생,10,호텔관광과,호텔외식서비스과,호텔조리과,건축과,재학생,재학생,재학생,신입생,32.0,34.0,15.0,110.0
161,2017,호텔관광과,재학생,32,호텔외식서비스과,호텔조리과,건축과,건축설비소방과,재학생,재학생,신입생,신입생,34.0,15.0,110.0,75.0
162,2017,호텔외식서비스과,재학생,34,호텔조리과,건축과,건축설비소방과,경영과,재학생,신입생,신입생,신입생,15.0,110.0,75.0,73.0
163,2017,호텔조리과,재학생,15,건축과,건축설비소방과,경영과,기계과,신입생,신입생,신입생,신입생,110.0,75.0,73.0,80.0
164,2016,건축과,신입생,110,건축설비소방과,경영과,기계과,디지털전자과,신입생,신입생,신입생,신입생,75.0,73.0,80.0,79.0
165,2016,건축설비소방과,신입생,75,경영과,기계과,디지털전자과,메카트로닉스과,신입생,신입생,신입생,신입생,73.0,80.0,79.0,78.0
166,2016,경영과,신입생,73,기계과,디지털전자과,메카트로닉스과,모바일인터넷과,신입생,신입생,신입생,신입생,80.0,79.0,78.0,73.0
167,2016,기계과,신입생,80,디지털전자과,메카트로닉스과,모바일인터넷과,문헌정보과,신입생,신입생,신입생,신입생,79.0,78.0,73.0,77.0
168,2016,디지털전자과,신입생,79,메카트로닉스과,모바일인터넷과,문헌정보과,방송음향영상과,신입생,신입생,신입생,신입생,78.0,73.0,77.0,78.0
169,2016,메카트로닉스과,신입생,78,모바일인터넷과,문헌정보과,방송음향영상과,비서사무행정과,신입생,신입생,신입생,신입생,73.0,77.0,78.0,75.0
170,2016,모바일인터넷과,신입생,73,문헌정보과,방송음향영상과,비서사무행정과,사회복지과,신입생,신입생,신입생,신입생,77.0,78.0,75.0,79.0
